"ID","Text"
"2128","I liked the aluminum body."
"81","Lightweight and the screen is beautiful!"
"89","Buy it, love it, and I promise you won't regret it."
"353","From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
"347","pretty much everything else about the computer is good it just stops working out of no were."
"1813","Originally bought it for my wife."
"655","It was truly a great computer costing less than one thousand bucks before tax."
"1615","I bought this laptop on Saturday and am completely in love with it!"
"1670","If you don't like fingerprints, this might not be the laptop for you."
"2443","Boots up fast and runs great!"
"764","Call tech support, standard email the form and fax it back in to us."
"177","I did contact HP and share how unhappy I am."
"3012","This is my second MacBook."
"1479","The service I received from Toshiba went above and beyond the call of duty."
"2937","I would recommend it just because of the internet speed probably because thats the only thing i really care about."
"439","This is my 3rd Apple Laptop and first MacBook Pro."
"2925","I have had this laptop for a few months now and i would say im pretty satisfied."
"929","The love part of my relationship with this laptop doesn't take very long."
"2077","The screen shows great colors."
"225","Dells are ok, HPs aren't that good, but Macs or Fantastic."
"2756","The battery life has not decreased since I bought it, so i'm thrilled with that."
"2863","The price and features more than met my needs."
"1393","the mouse buttons are hard to push."
"1837","Just don't waste your time and money on this."
"921","And I'm still paying the bloody financing, for a product which didn't last me at least three years!"
"2817","Bought it to use mostly for oline classes."
"1896","I purchased an HP right after my high school graduation."
"341","Me and my boyfriend bought the Gateway NV78 in nov of 09."
"36","This is the complete opposite to an ergonomic design."
"990","The technical service for dell is so 3rd world it might as well not even bother."
"2275","The built in camera is very useful when chatting with other techs in remote buildings on our campus."
"2908","Not super fancy, but not super expensive either."
"214","Keyboard good sized and wasy to use."
"2777","Great wifi too."
"467","The Dell mini was the first Dell product that I had ever purchased."
"47","My Mac has gone from being a trusted friend to an adversary."
"361","I have been a mac user since the mid 90s."
"168","My HP is very heavy."
"2642","big mistake!"
"1000","Best Buy was great as always and accepted the return and gave me another model 1764."
"2135","I would buy this lap top over and over again!"
"1733","Games being the main issue."
"1822","My previous purchases were with Dell and HP."
"3064","The price is another driving influence that made me purchase this laptop."
"1646","But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates."
"2988","It's a great product for a great price!"
"2828","Excellent speed for processing data."
"121","All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
"1967","In my opinion it was not as user friendly as I expected either."
"1776","The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
"2626","The switchable graphic card is pretty sweet when you want gaming on the laptop."
"2967","I would like at least a 4 hr. battery life."
"1800","Looking online, many people are having the same problem."
"2993","It has good speed and plenty of hard drive space."
"1037","The driver updates don't fix the issue, very frustrating."
"1270","Dell wanted to charge us for everything everytime I called them with a problem."
"1834","THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT."
"2451","Im glad that it has such great features in it."
"605","it's just a great toy to have around."
"1900","When this happened I would have to completely power off my computer and restart it."
"2871","I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance."
"844","I asked how they would determine that since there are no scratches, dents or other signs of damage and was told that was the only way this type of damage could happen."
"1634","I had finally reached my limit and broke down."
"200","and dell and best buy both refused to take it back after i only had it for 1 hour...."
"416","I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there."
"68","and its really cheap and you wont regret buying it."
"2746","It was over rated!"
"282","I dont understand how anyone can think this is a great product worth purchasing."
"1532","My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit."
"2238","and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price."
"692","They definitely have a superior product!"
"78","This is a great laptop and I would recommend it to anyone."
"2245","It is very user friendly and not hard to figure out at all."
"415","They are wonderful, but very dangerous when it comes to emitting heat."
"2710","Came fully loaded -good."
"1671","It super shiny, so you can see the fingerprints easily."
"2703","It's a great prodcut to handle basic computing needs."
"66","the laptop was really good and it goes really fast just the way i thought it would of run."
"285","It doesnt work worth a damn."
"1609","It was definelty a smart move."
"2661","Overall though, for the money spent it's a great deal."
"1577","A little pricey but it is well, well worth it."
"1287","It is meant to be PORTABLE."
"2523","I am totally satisfied with my little toshie!"
"2785","Also, the extended warranty was a problem."
"832","My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge."
"2037","I waited and waited and no laptop."
"1429","Everything is falling apart internally and externally."
"2130","I also liked the glass screen."
"1446","When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
"2259","I can actually get work done with this MAC, and not fight with it like my tired old PC laptop."
"2695","If you're not wanting to be mobile, this is a good laptop to sit on a desk."
"1506","I also travel with it and it never gives me any problems."
"3047","(Beware, their staff could send you back making you feel that only they know what a computer is."
"1042","Other Thoughts: Do not purchase this product."
"2151","The computer was delivered as promised."
"1732","The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to."
"1063","Wireless has not been a issue for me, like some others have meantioned."
"271","MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
"1674","All for such a great price."
"813","All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
"1579","And really large portions."
"2707","Go inside and you won't want to leave."
"3126","Save yourself the time and trouble and skip this one!"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable."
"1609","Service was quick."
"3018","Oh, don't even let me start with how expensive the bills were!"
"3292","Service is top notch."
"2041","The best thing I tasted were the lambc hops."
"2609","Overall I would recommend it and go back again."
"1194","I've been here a couple of times and have not been impressed."
"3440","Even though its good seafood, the prices are too high."
"870","In addition, the food is very good and the prices are reasonable."
"2507","The food is great and authentic."
"586","I was at Rao's last Wed."
"3081","I recommend the garlic shrimp, okra (bindi), and anything with lamb."
"1884","The menu was impressive with selections ranging from a burger, to steak, to escargot."
"2077","very good breads as well."
"201","Anyway, the food is good, the price is right and they have a decent wine list."
"3049","The food was lousy -too sweet or too salty and the portions tiny."
"1242","But the coconut rice was good."
"2211","And the Tom Kha soup was pathetic."
"3343","The food now is inconsistent."
"2141","Try the crunchy tuna, it is to die for."
"83","Reasonable prices."
"381","Everything at Sala Thai is tasty and well-portioned."
"3315","Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening."
"1709","Unfortunately, the food was NOT something to get worked up about."
"193","The food is great and reasonably priced."
"2459","I got enough reasons to keep coming back!!!"
"1293","Their calzones are horrific, bad, vomit-inducing, YUCK."
"2105","A few tips: skip the turnip cake, roast pork buns and egg custards."
"2152","The bagels are fabulous."
"3358","I never had anything I didn't like here."
"2751","I definitely wouldn't go back."
"882","While the ambiance and atmosphere were great, the food and service could have been a lot better."
"1124","Our waitress was sweet and accomodating, not overbearing."
"3546","I have tried literally every restaurant on curry row."
"3020","My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
"746","I went to this restaurant with a woman that I met recently."
"3170","Good spreads, great beverage selections and bagels really tasty."
"2171","The food options rule."
"2811","Consistently good Japanese Tapas."
"762","I went to Ruby Foo's after work with a group of 6."
"339","The sushi was awful!"
"217","My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent."
"3478","Now it's so crowded and loud you can't even talk to the person next to you."
"1180","Go, go, hurry, before everyone finds out about it."
"3372","I've been many time and have never been disappointed."
"776","The food was great."
"3208","Don't leave without trying One Night in Tokyo."
"2673","I would go back tho."
"1380","Definately check it out!!!"
"3641","You cannot go wrong with this place."
"2806","As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
"2630","I loving bringing friends here -and I do so every chance I get."
"924","With the theater 2 blocks away we had a delicious meal in a beautiful room."
"3411","Even my Indian friend couldn't believe how good and tasty everything was."
"2164","We were not dissappointed in the least bit by this little gem."
"3077","A pleasant surprise."
"745","This was a repeat visit and we'll definitely be back again."
"1273","I love the fact that the pizza tastes so good and is so cheap."
"179","Service was prompt, friendly and great."
"2460","OU MUST TRY THIS RESTAURANT."
"3045","All pretty good."
"1698","Have eaten at Ginger House several times, and it's always good."
"109","I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil."
"1057","Drawbacks: service is slow and they don't toast!"
"2186","It is by far my favorite restaurant in Brooklyn."
"3471","I've been to Joya twice and I will never go again."
"1401","A hearty two thumbs up!"
"1112","Great find!!!"
"3368","If only they delivered, they'd make a mint!"
"3495","Was surprisingly disappointed."
"2451","The prices were fantastic."
"948","I'm told that it is open 24hrs which is good."
"2202","What more could you want?"
"2740","Excellent experience."
"537","Definitely a neighborhood favorite."
"1548","The food is terrible and overall, I would have to say avoid at all costs."
"134","The food is prepared quickly and efficiently."
"2708","The food is fresh, delicious, and reasonably priced."
"1455","This is my favorite Italian restaurant in all of New York City."
"2591","Anyway, this is the last time I cross the williamsburg."
"1593","I am bringing my whole family back next time."
"1769","Love YUKA."
"3575","As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
"1105","I have been coming to this neighborhood spot for years."
"2575","We will be back."
"742","The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful."
"1471","A large is $20, and toppings are about $3 each."
"1656","The spicy tuna and salmon are the best we've ever had."
"2769","A guaranteeed delight!"
"3681","The food was very good, a great deal, and the place its self was great."
"2205","The food is usually good but it certainly isn't a relaxing place to go."
"1159","After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
"628","The server was really cool and served us our food and drinks with a smile."
"2912","The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
"3188","Went there for an office lunch."
"3041","We've only eaten in the restaurant once, but we have ordered many times for dinner."
